OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
31505,KILBUCK,TOWNSHIP,Kilbuck Township,Quaker Valley,Avonworth,14,39624,NH,1696.04296875,2.65006709,920,003295,1,Northwest Regional,North,Northwest,1971,{220B6ED1-35DB-40E1-97F6-C5F1B9533985},62364.8611692987,72171123.2487123
31510,EAST MCKEESPORT,BOROUGH,East McKeesport Borough,Turtle Creek Valley,East Allegheny,18,21444,MV,242.55856323,0.3789978,821,003155,8,East Regional,East,Mon Valley,1971,{2A7329DD-A15E-4E7E-A7E2-D215E8B5B5AB},18453.2045150612,11510250.5586996
35908,PENN HILLS,MUNICIPALI,Penn Hills Municipality,Turtle Creek Valley,Penn Hills,18,59032,ES,12455.72851562,19.46207809,934,003420,7,East Regional,East,East,1984,{E4ED7404-D1EA-41A3-9E17-070FDAE0C8F0},119872.740621061,540032714.346964
36708,FOREST HILLS,BOROUGH,Forest Hills Borough,Turtle Creek Valley,Woodland Hills,18,26592,ES,990.75531005,1.54805517,828,003205,8,East Regional,East,Mon Valley,1953,{0AC0ECF3-E435-44A9-B3E8-9E2A57827230},35813.7862465664,43627999.7066428
38309,MONROEVILLE,MUNICIPALI,Monroeville Municipality,Turtle Creek Valley,Gateway,18,50528,ES,12622.49804687,19.72265625,879,003350,8,East Regional,East,East,1985,{B88B4927-9899-4A9F-9FD4-98C5936C655D},154196.382983417,549728498.090896
38711,OAKDALE,BOROUGH,Oakdale Borough,Char-West,West Allegheny,20,55840,AA,285.33847045,0.4458414,844,003395,4,Southwest Regional,West,West,2007,{4BDB3D66-3821-4AAF-914C-398CBC4A89E3},19733.0986385183,13081632.1892612
39513,JEFFERSON HILLS,BOROUGH,Jefferson Hills Borough,South Hills Area,West Jefferson Hills,18,37955,SH,10813.69140625,16.89639091,878,003285,6,South Hills Regional,South,Mon Valley,1968,{4C433945-5F3A-4CD3-ACAA-DA2FBF22FF87},129215.75993787,-466856012.499657
40310,MARSHALL,TOWNSHIP,Marshall Township,North Hills,North Allegheny,4,47696,NH,9874.30371093,15.42860031,923,003340,2,NEWCOM,North,North,2007,{4D5403F6-046A-49BF-BC10-D9010BFB7F41},105462.317597901,430424832.631388
41527,EAST DEER,TOWNSHIP,East Deer Township,Allegheny Valley North,Deer Lakes,4,21024,NH,1613.70178222,2.52140927,907,003150,3,NEWCOM,East,Alle-Kiski Valley,1968,{F45FC136-88EF-45BE-B81D-1FEB02BB43CD},44682.1809920617,68927322.5596856
42329,PINE,TOWNSHIP,Pine Township,North Hills,Pine-Richland,4,60272,NH,10785.910156,16.852983,935,003425,2,NEWCOM,North,North,2007,{3F1307B7-1854-4B1E-A963-6DCB8F5363FB},86866.6091725254,473051070.751447
43531,FINDLAY,TOWNSHIP,Findlay Township,South Hills Area,West Allegheny,20,25904,AA,20697.90429687,32.34046936,910,003200,4,Northwest Regional,West,West,2007,{0A3E017B-106C-4C84-BF07-A21026692602},145289.044593529,899354319.33721
43932,PITTSBURGH,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,,,100,003435,13,City of Pittsburgh,City,City,1948,{2C77DD9D-5DA5-46AF-BD2A-AD76BE60B6E9},407522.013906144,1626547683.98673
